start	end	zh	en
2	6	《生活大爆炸》前情提要	Previously on The Big Bang Theory...
6	10	你能相信我们的小羊羔终于要嫁人了吗	Can you believe our little lamb is finally getting married?
10	12	他肯定不信	He can't believe it.
12	15.5	我也不敢相信	And neither can I.
15.5	20.5	爸 你还好吗	Hi, Dad. How you doing?
20.5	23	我以"连你都能证婚网"	Then by the power vested in me...
23	28.5	所赋予我的合法权利	by EvenYouCanPerformWeddings.Com...
28.5	30.5	我现在宣布你们正式结为合法夫妻	...I now pronounce you husband and wife.
30.5	36.5	你可以吻新娘了	You may kiss the bride.
36.5	40.5	时至今日	and now...
40.5	44.5	早安啊 老婆	Good morning, wife.
44.5	47.5	早安啊 老公	Good morning, husband.
47.5	49.5	真不敢相信我们真的结婚了	I can't believe we're actually married.
49.5	51.5	正式完婚了 根据传统	It's official. According to tradition,
51.5	53	我们应该把床单挂在外面	we should hang the bedsheets outside
53	58	这样其他村民就能知道我们行过房了	so the villagers can see that we consummated.
58	60.5	毕竟我们是在这种地方开始我们的蜜月之旅	considering where we're starting our honeymoon.
60.5	67	你说的有道理	Well, I suppose you're right.
67	70	乐高有着形容夫妻房事的最完美隐喻呢	Lego is the perfect metaphor for marital congress.
70	79.5	两片乐高"合体"并带有爽度十足的咔哒声	Two pieces that interlock with a satisfying snap.
79.5	80.5	我差点就忘了	Oh, I almost forgot.
80.5	83.5	在你睡觉的时候 我点了客房送餐	While you were sleeping, I ordered room service.
83.5	85.5	真的吗	Really?
85.5	88.5	请看	Voila!
88.5	92	你本来还以为是食物 对吧	You thought it was going to be food, didn't you?
92	95	我们的宇宙曾经超热又超密	Our whole universe was in a hot, dense state
95	99	直到大约140亿年前的某一天宇宙膨胀开始了 等等	Then nearly 14 billion years ago expansion started... Wait!
99	101	地球开始冷却	The Earth began to cool
101	104	自养生物开始发育 尼安德塔人发明工具	The autotrophs began to drool, Neanderthals developed tools?
104	105	我们建了长城 我们建了金字塔	We built the Wall We built the pyramids
105	106	数学 科学 历史 解开了谜团	Math, Science, History, unraveling the mystery
106	108	♪ 数学 科学 历史 解开了谜团 ♪	♪ Math, Science, History, unraveling the mystery ♪
108	110	一切都始于大爆炸	That all started with a big bang
110	116.5	炸	Bang!
116.5	119.5	谢尔顿跟艾米出去度蜜月你们是不是很爽啊	Is it nice having Sheldon and Amy away on their honeymoon?
119.5	122.5	是啊 因为我跟莱纳德有大把的独处时间	Yeah, because now Leonard and I get all this alone time.
122.5	124.5	但你俩不能独处啊 我们在呢	But you're not alone. We're here.
