start,end,type,priority,text,word,lemma,phonetic,partOfSpeech,sentenceMeaning,translation,literal,actual,grammar,source_en,source_zh,markerStart,markerEnd
6.0,10.0,vocabulary,1,believe,believe,believe,/bɪˈliːv/,vt./vi.,相信,相信；认为,,,,Can you believe our little lamb is finally getting married?,你能相信我们的小羊羔终于要嫁人了吗,8,15
10.0,12.0,vocabulary,1,believe,believe,believe,/bɪˈliːv/,vt./vi.,相信,相信；认为,,,,He can't believe it.,他肯定不信,9,16
47.5,49.5,vocabulary,1,believe,believe,believe,/bɪˈliːv/,vt./vi.,相信,相信；认为,,,,I can't believe we're actually married.,真不敢相信我们真的结婚了,8,15
49.5,51.5,vocabulary,1,official,official,official,/əˈfɪʃəl/,adj./n.,正式的,官方的；正式的；官员,,,,"It's official. According to tradition,",正式完婚了 根据传统,5,13
49.5,51.5,vocabulary,1,tradition,tradition,tradition,/trəˈdɪʃən/,n.,传统,传统；惯例,,,,"It's official. According to tradition,",正式完婚了 根据传统,28,37
51.5,53.0,vocabulary,1,bedsheet,bedsheet,bedsheet,/ˈbedʃiːt/,n.,床单,床单,,,,we should hang the bedsheets outside,我们应该把床单挂在外面,19,28
51.5,53.0,vocabulary,1,outside,outside,outside,/ˌaʊtˈsaɪd/,adv./adj./prep./n.,外面,在外面；外部,,,,we should hang the bedsheets outside,我们应该把床单挂在外面,29,36
53.0,58.0,vocabulary,1,consummate,consummate,consummate,/ˈkɑːnsəmeɪt/,adj./vt.,圆房,圆房；完成；使圆满,,,,so the villagers can see that we consummated.,这样其他村民就能知道我们行过房了,33,44
58.0,60.5,vocabulary,1,considering,considering,considering,/kənˈsɪdərɪŋ/,prep.,考虑到,考虑到；鉴于,,,,considering where we're starting our honeymoon.,毕竟我们是在这种地方开始我们的蜜月之旅,0,11
58.0,60.5,vocabulary,1,honeymoon,honeymoon,honeymoon,/ˈhʌnimuːn/,n.,蜜月,蜜月,,,,considering where we're starting our honeymoon.,毕竟我们是在这种地方开始我们的蜜月之旅,37,46
60.5,67.0,vocabulary,1,suppose,suppose,suppose,/səˈpoʊz/,vt./vi.,认为,认为；假设；料想,,,,"Well, I suppose you're right.",你说的有道理,8,15
67.0,70.0,vocabulary,1,congress,congress,congress,/ˈkɑːŋɡrəs/,n.,圆房,国会；大会；交合（委婉/正式）,,,,Lego is the perfect metaphor for marital congress.,乐高有着形容夫妻房事的最完美隐喻呢,41,49
67.0,70.0,vocabulary,1,marital,marital,marital,/ˈmærɪtl/,adj.,婚姻的,婚姻的；夫妻的,,,,Lego is the perfect metaphor for marital congress.,乐高有着形容夫妻房事的最完美隐喻呢,33,40
67.0,70.0,vocabulary,1,metaphor,metaphor,metaphor,/ˈmetəfɔːr/,n.,比喻,隐喻；比喻,,,,Lego is the perfect metaphor for marital congress.,乐高有着形容夫妻房事的最完美隐喻呢,20,28
67.0,70.0,vocabulary,1,perfect,perfect,perfect,/ˈpɜːrfɪkt/,adj.,完美的,完美的；完全的,,,,Lego is the perfect metaphor for marital congress.,乐高有着形容夫妻房事的最完美隐喻呢,12,19
70.0,79.5,vocabulary,1,interlock,interlock,interlock,/ˌɪntərˈlɑːk/,vt./vi.,扣合,互锁；扣在一起；咬合,,,,Two pieces that interlock with a satisfying snap.,"两片乐高""合体""并带有爽度十足的咔哒声",16,25
70.0,79.5,vocabulary,1,satisfying,satisfying,satisfying,/ˈsætɪsfaɪɪŋ/,adj.,令人满足的,令人满足的；令人满意的,,,,Two pieces that interlock with a satisfying snap.,"两片乐高""合体""并带有爽度十足的咔哒声",33,43
70.0,79.5,vocabulary,1,snap,snap,snap,/snæp/,n.,咔哒声,咔哒声；猛然折断；迅速动作,,,,Two pieces that interlock with a satisfying snap.,"两片乐高""合体""并带有爽度十足的咔哒声",44,48
80.5,83.5,vocabulary,1,order,order,order,/ˈɔːrdər/,n./vi./vt.,点餐,命令；点餐；订购；顺序,,,,"While you were sleeping, I ordered room service.",在你睡觉的时候 我点了客房送餐,27,34
80.5,83.5,vocabulary,1,room service,room service,room service,/ˈruːm ˌsɜːrvɪs/,n.,客房服务,客房送餐服务,,,,"While you were sleeping, I ordered room service.",在你睡觉的时候 我点了客房送餐,35,47
80.5,83.5,vocabulary,1,sleep,sleep,sleep,/sliːp/,n./vi.,睡觉,睡觉；睡眠,,,,"While you were sleeping, I ordered room service.",在你睡觉的时候 我点了客房送餐,15,23
92.0,95.0,vocabulary,1,dense,dense,dense,/dens/,adj.,稠密的,密集的；浓密的；难懂的,,,,"Our whole universe was in a hot, dense state",我们的宇宙曾经超热又超密,33,38
92.0,95.0,vocabulary,1,hot,hot,hot,/hɑːt/,adj.,热的,热的；热门的,,,,"Our whole universe was in a hot, dense state",我们的宇宙曾经超热又超密,28,31
